thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
48,0,48,up,1,0.9134105001576245,None,0,48,0,48,0,106.71532989991829,,106.6979201999493,106.71532989991829,107.69768769992515,107.71318980003707,108.61260019987822,up,1,0.9134105001576245,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
49,0,49,up,0,0.7874729000031948,None,-2,49,0,49,0,108.63075749995187,,108.61300939996727,108.63075749995187,109.61284139985219,109.6444556999486,110.4108958998695,up,0,0.7874729000031948,None,-2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
50,0,50,up,0,0.6495467000640929,None,1,50,0,50,0,110.42904859990813,,110.41114059998654,110.42904859990813,111.41148949996568,111.42668429994956,112.07661850005388,up,0,0.6495467000640929,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
51,0,51,down,1,0.8817055998370051,None,4,51,0,51,0,112.09419610002078,,112.07702729990706,112.09419610002078,113.07692750007845,113.0919657999184,113.9750659998972,down,1,0.8817055998370051,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
52,0,52,up,0,0.799460900016129,None,-3,52,0,52,0,113.99277959996834,,113.97556509985588,113.99277959996834,114.97537559992634,114.99003900005482,115.79002709989436,up,0,0.799460900016129,None,-3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
53,0,53,down,0,0.8219031998887658,None,0,53,0,53,0,115.807890499942,,115.79040999989957,115.807890499942,116.79097520001233,116.805542799877,117.62191729992628,down,0,0.8219031998887658,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
54,0,54,up,1,0.6228479000274092,None,0,54,0,54,0,117.64004729990847,,117.6222918999847,117.64004729990847,118.62277280003764,118.63719599996693,119.25403969991021,up,1,0.6228479000274092,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
55,0,55,down,1,0.8745782999321818,None,4,55,0,55,0,119.27165369992144,,119.25459420005791,119.27165369992144,120.25449829990976,120.26916419994086,121.13576709991321,down,1,0.8745782999321818,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
56,0,56,up,1,1.0004946000408381,None,0,56,0,56,0,121.1535322999116,,121.1361471998971,121.1535322999116,122.13610380003229,122.15103859989904,123.15051629999653,up,1,1.0004946000408381,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
57,0,57,down,1,1.1969400998204947,None,-5,57,0,57,0,123.16841980000027,,123.1507737999782,123.16841980000027,124.15123479999602,124.16608179989271,125.3494609000627,down,1,1.1969400998204947,None,-5,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
